root@comp3134:~# tcpdump -i enp1s0 port 22
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:44.324404 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4196:4232, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.324417 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4232:4460, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 228
20:32:44.324435 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4460:4496, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.324463 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4496:4724, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 228
20:32:44.324485 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4724:4760, ack 1, win 501, options [nop,nop,TS val 1836000269 ecr 488179854], length 36
20:32:44.324516 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4760:4988, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324538 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4988:5024, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324570 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5024:5252, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324588 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5252:5288, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324617 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5288:5516, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324639 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5516:5552, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324667 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5552:5780, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324693 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5780:5816, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324722 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5816:6044, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324744 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6044:6080, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324790 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6080:6308, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324816 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6308:6344, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324847 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6344:6572, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324868 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6572:6608, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
20:32:44.324901 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6608:6836, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 228
20:32:44.324921 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6836:6872, ack 1, win 501, options [nop,nop,TS val 1836000270 ecr 488179854], length 36
