root@comp3134:~# tcpdump -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:25:38.759343 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4196:4232, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 36
20:25:38.759373 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4232:4460, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 228
20:25:38.759395 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4460:4496, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 36
20:25:38.759422 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4496:4724, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 228
20:25:38.759446 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4724:4760, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 36
20:25:38.759476 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4760:4988, ack 1, win 501, options [nop,nop,TS val 1835574704 ecr 487754294], length 228
20:25:38.759496 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4988:5024, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759529 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5024:5252, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759550 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5252:5288, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759576 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5288:5516, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759601 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5516:5552, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759629 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5552:5780, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759647 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5780:5816, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759680 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5816:6044, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759701 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6044:6080, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759727 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6080:6308, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759752 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6308:6344, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759780 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6344:6572, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759800 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6572:6608, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759833 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6608:6836, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759853 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6836:6872, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759879 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6872:7100, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759903 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7100:7136, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759933 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7136:7364, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.759952 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7364:7400, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.759984 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7400:7628, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760006 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7628:7664, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.760033 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7664:7892, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760057 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7892:7928, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.760085 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7928:8156, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
20:25:38.760104 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8156:8192, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 36
20:25:38.760135 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 8192:8420, ack 1, win 501, options [nop,nop,TS val 1835574705 ecr 487754294], length 228
