root@comp3134:~# tcpdump -i enp1s0 src 155.138.140.26
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:34:28.839100 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4488:4716, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839131 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4716:4752, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839169 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4752:4980, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839196 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4980:5016, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839226 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5016:5244, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839252 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5244:5280, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839284 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5280:5508, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839307 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5508:5544, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839342 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5544:5772, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839372 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5772:5808, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839405 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5808:6036, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839427 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6036:6072, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839458 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6072:6300, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 228
20:34:28.839482 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6300:6336, ack 1, win 501, options [nop,nop,TS val 1836104784 ecr 488284367], length 36
20:34:28.839509 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6336:6564, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839533 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6564:6600, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839571 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6600:6828, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839596 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6828:6864, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839625 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 6864:7092, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839650 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7092:7128, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839674 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7128:7356, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
20:34:28.839699 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7356:7392, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 36
20:34:28.839729 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 7392:7620, ack 1, win 501, options [nop,nop,TS val 1836104785 ecr 488284367], length 228
