root@comp3134:~# tcpdump -n -i enp1s0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:31:00.363931 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4080:4284, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.363951 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4284:4320, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.363980 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4320:4524, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364004 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4524:4560, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364032 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4560:4764, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364054 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4764:4800, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364086 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 4800:5004, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364105 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5004:5040, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364134 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5040:5244, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364160 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5244:5280, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364195 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5280:5484, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
20:31:00.364223 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5484:5520, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 36
20:31:00.364269 IP 155.138.140.26.22 > 104.158.146.2.53986: Flags [P.], seq 5520:5724, ack 1, win 501, options [nop,nop,TS val 1835896309 ecr 488075894], length 204
