root@comp3134:~# tcpdump -i enp1s0 tcp
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on enp1s0, link-type EN10MB (Ethernet), capture size 262144 bytes
20:32:15.060417 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3652:3688, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
20:32:15.060446 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3688:3916, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 228
20:32:15.060470 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3916:3952, ack 1, win 501, options [nop,nop,TS val 1835971005 ecr 488150586], length 36
20:32:15.060499 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 3952:4180, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060521 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4180:4216, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060553 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4216:4444, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060580 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4444:4480, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060620 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4480:4708, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060651 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4708:4744, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060687 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4744:4972, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060711 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 4972:5008, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060740 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5008:5236, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060771 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5236:5272, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060828 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5272:5500, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060851 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5500:5536, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060885 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5536:5764, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
20:32:15.060905 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5764:5800, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 36
20:32:15.060938 IP 155.138.140.26.vultr.com.ssh > 2.146.158.104.in-addr.arpa.53986: Flags [P.], seq 5800:6028, ack 1, win 501, options [nop,nop,TS val 1835971006 ecr 488150586], length 228
